,Frequency (Hz),Amplitude (dBm)
905,1005000,-71.9
906,1006000,-71.52
907,1007000,-70.89
908,1008000,-71.64
909,1009000,-71.64
910,1010000,-72.72
911,1011000,-72.65
912,1012000,-72.79
913,1013000,-71.38
914,1014000,-72.65
915,1015000,-71.26
916,1016000,-70.54
917,1017000,-72.64
918,1018000,-71.9
919,1019000,-72.43
920,1020000,-71.64
921,1021000,-71.38
922,1022000,-71.01
923,1023000,-72.43
924,1024000,-73.02
925,1025000,-71.01
926,1026000,-70.89
927,1027000,-72.36
928,1028000,-71.77
929,1029000,-71.64
930,1030000,-70.54
931,1031000,-71.9
932,1032000,-71.64
933,1033000,-71.26
934,1034000,-72.22
935,1035000,-71.38
936,1036000,-72.43
937,1037000,-72.43
938,1038000,-72.5
939,1039000,-71.9
940,1040000,-71.9
941,1041000,-72.43
942,1042000,-72.08
943,1043000,-70.42
944,1044000,-71.64
945,1045000,-72.5
946,1046000,-72.43
947,1047000,-72.15
948,1048000,-71.9
949,1049000,-72.94
950,1050000,-73.66
951,1051000,-73.34
952,1052000,-72.37
953,1053000,-72.73
954,1054000,-73.03
955,1055000,-72.65
956,1056000,-72.51
957,1057000,-72.16
958,1058000,-72.51
959,1059000,-72.73
960,1060000,-72.95
961,1061000,-72.44
962,1062000,-72.37
963,1063000,-72.73
964,1064000,-73.66
965,1065000,-71.02
966,1066000,-70.89
967,1067000,-72.23
968,1068000,-71.91
969,1069000,-72.37
970,1070000,-72.95
971,1071000,-72.51
972,1072000,-71.14
973,1073000,-74.09
974,1074000,-72.23
975,1075000,-72.95
976,1076000,-71.39
977,1077000,-72.23
978,1078000,-71.91
979,1079000,-71.91
980,1080000,-72.95
981,1081000,-71.64
982,1082000,-71.39
983,1083000,-72.44
984,1084000,-72.37
985,1085000,-73.34
986,1086000,-73.74
987,1087000,-72.16
988,1088000,-72.8
989,1089000,-72.95
990,1090000,-71.39
991,1091000,-71.39
992,1092000,-73.74
993,1093000,-72.44
994,1094000,-72.95
995,1095000,-72.65
996,1096000,-71.91
997,1097000,-73.03
998,1098000,-72.37
999,1099000,-73.42
1000,1100000,-73.34
1001,1101000,-71.64
1002,1102000,-73.42
1003,1103000,-72.8
1004,1104000,-73.66
1005,1105000,-72.51
1006,1106000,-71.91
1007,1107000,-72.8
1008,1108000,-73.1
1009,1109000,-71.64
1010,1110000,-72.23
1011,1111000,-72.08
1012,1112000,-72.51
1013,1113000,-72.73
1014,1114000,-73.34
1015,1115000,-73.58
1016,1116000,-72.73
1017,1117000,-71.91
1018,1118000,-72.65
1019,1119000,-73.34
1020,1120000,-72.23
1021,1121000,-72.51
1022,1122000,-72.8
1023,1123000,-71.64
1024,1124000,-70.89
